SiteID;SiteName;SiteCode;Latitude;Longitude;Elevation;regione
2;TERAMO;100;42.65472222;13.71722222;264;abruzzo
6718;MILANO/LINATE;160800;45.433;9.283;103;aeronautica
6720;PIACENZA;160840;44.917;9.733;138;aeronautica
6721;BRESCIA/GHEDI;160880;45.417;10.283;97;aeronautica
6723;VERONA/VILLAFRANCA;160900;45.383;10.867;68;aeronautica
6729;TREVISO/ISTRANA;160980;45.683;12.1;46;aeronautica
6730;TREVISO/S. ANGELO;160990;45.65;12.183;23;aeronautica
6733;VENEZIA/TESSERA;161050;45.5;12.333;6;aeronautica
6736;TRIESTE;161100;45.65;13.75;20;aeronautica
6768;CERVIA;161480;44.217;12.3;10;aeronautica
6769;RIMINI;161490;44.033;12.617;13;aeronautica
6771;CAPO MELE;161530;43.95;8.167;221;aeronautica
6;Albano di Lucania;179900;40.5894;16.0378;794;basilicata
44;Irsina;55200;40.7417;16.2461;453;basilicata
2;Torre Accio;177000;40.3925;16.6539;21;basilicata
39;Tramutola;54700;40.2986;15.7867;875;basilicata
77;Vipiteno;32600MS;46.89782475;11.42939034;946;bolzano
5;Monte Maria;02500MS;46.70568911;10.5212676;1256;bolzano
18;Silandro;09700MS;46.62375473;10.78026981;684;bolzano
23;Diga di Gioveretto Osservatore;11200BM;46.50906285;10.72507183;1896;bolzano
30;Naturno;19300MS;46.64766321;10.99117805;561;bolzano
39;Plata;20900MS;46.82249293;11.17808117;1118;bolzano
49;Merano - Quarazze;23200MS;46.68805798;11.13656021;369;bolzano
58;Diga di Zoccolo-S.Valburga;25900MS;46.54187189;10.99013577;1282;bolzano
94;Dobbiaco;41000MS;46.72997843;12.21915906;1219;bolzano
102;S.Maddalena in Casies;44500MS;46.83526049;12.24271916;1456;bolzano
110;Predoi;50500MS;47.03658867;12.09912721;1515;bolzano
149;Terento;65600MS;46.83445756;11.78557637;1437;bolzano
150;Fundres;66500MS;46.88718005;11.7029428;1151;bolzano
172;Colma-Barbiano;74900MS;46.59512824;11.52910684;511;bolzano
176;Fi� allo Sciliar;75600MS;46.51340578;11.50595194;804;bolzano
197;Sarentino;82200MS;46.64063165;11.3550613;976;bolzano
203;Bolzano;83200MS;46.49768516;11.31283145;246;bolzano
217;Salorno;88820MS;46.23623649;11.18548738;288;bolzano
223;Sesto;91500MS;46.70305366;12.34996391;1490;bolzano
2;Cosenza;1010;39.28694444;16.26527778;269;calabria
7;San Pietro in Guarano;1030;39.34555556;16.31361111;766;calabria
18;Torano Scalo;1130;39.49388889;16.21;93;calabria
217;Capo Spartivento;2310;37.92727778;16.05613889;61;calabria
43;Montella;NA;40.84777778;15.05027778;499.6351928710938;campania
5;Alvignano;NA;41.21805556;14.39444444;170.3599395751953;campania
18;Boville ernica;NA;41.65222222;13.4775;437.1869201660156;campania
23;Castelluccio;NA;40.58166667;15.33777778;283.8472900390625;campania
39;Melizzano;NA;41.16722222;14.50527778;193.6260833740234;campania
77;S.pietro;NA;40.81833333;14.78694444;204.2464141845703;campania
110;Bellosguardo;NA;40.42333333;15.31138889;483.2072143554687;campania
39;Copparo;20017;44.916933;11.832385;2;emiliaromagna
9573;Monghidoro  tele   Reno-Idice;08MONGHIDOROTELE;44.2223;11.3234;801;emiliaromagna
13063;Palantone - Opera Po;0811895;44.927109;11.440684;9;emiliaromagna
14158;Bologna idrografico;OPENDATA26;44.49972;11.34611;45;emiliaromagna
14246;Ferrara urbana;OPENDATA114;44.8325;11.62114;9;emiliaromagna
14271;Imola;OPENDATA139;44.34535;11.71292;44;emiliaromagna
14415;San Clemente;OPENDATA283;44.31916;11.49065;208;emiliaromagna
14444;Secondo Salto;OPENDATA312;44.78278;11.37016;15;emiliaromagna
14458;Sostegno Reno;OPENDATA326;44.66547;11.27237;25;emiliaromagna
9013;ALFONSINE;08ALFONSINE;44.49303;12.0445;7;emiliaromagna
9041;BERRA;08BERRA;44.9788;11.99771;2;emiliaromagna
9051;BOMBIANA;08BOMBIANA;44.21439;10.97365;778;emiliaromagna
9054;BORGONOVOVT;08BORGONOVOVT;45.01727;9.44333;106;emiliaromagna
9071;CALDERARARENO;08CALDERARARENO;44.56613;11.27214;31;emiliaromagna
9101;CASTELDELRIO;08CASTELDELRIO;44.2112;11.50489;214;emiliaromagna
9119;CERVIA;08CERVIA;44.27249;12.31891;2;emiliaromagna
9121;CESENATICO;08CESENATICO;44.20713;12.39741;1;emiliaromagna
9177;GUAGNINO;08GUAGNINO;44.68842;12.21159;3;emiliaromagna
9189;JOLANDADISAVOIA;08JOLANDADISAVOIA;44.88649;11.9766;1;emiliaromagna
9230;MONTEACUTOALPI;08MONTEACUTOALPI;44.13639;10.88739;828;emiliaromagna
9233;MONTECATONE;08MONTECATONE;44.34602;11.6363;168;emiliaromagna
9244;MONTESPIETRO;08MONTESPIETRO;44.43793;11.13634;249;emiliaromagna
9276;PAVANADIGA;08PAVANADIGA;44.11828;11.00554;467;emiliaromagna
9287;PIANORO;08PIANORO;44.37103;11.33988;196;emiliaromagna
9328;RIOLOTERME;08RIOLOTERME;44.27424;11.72415;78;emiliaromagna
9404;VERGATO;08VERGATO;44.28781;11.11311;207;emiliaromagna
9578;Pennabilli   Marecchia;08PENNABILLITELE;43.8202;12.269;580;emiliaromagna
2;Barcis;BAR;46.193202;12.571028;468;friuliveneziagiulia
5;Bordano;BOR;46.332764;13.081196;230;friuliveneziagiulia
6;Borgo grotta gigante;BGG;45.709385;13.764681;275;friuliveneziagiulia
7;Brugnera;BRU;45.917972;12.545003;22;friuliveneziagiulia
21;Gemona del friuli;GEM;46.261297;13.122088;184;friuliveneziagiulia
23;Gradisca d'is.;GRA;45.889791;13.481807;29;friuliveneziagiulia
39;Pordenone;POR;45.953618;12.681257;23;friuliveneziagiulia
43;San vito al tgl.;SAN;45.895661;12.814989;21;friuliveneziagiulia
47;Tarvisio;TAR;46.510775;13.551886;794;friuliveneziagiulia
51;Trieste molo f.lli bandiera;TRI;45.649996;13.752242;1;friuliveneziagiulia
52;Udine s.o.;UDI;46.035212;13.226672;91;friuliveneziagiulia
53;Vivaro;VIV;46.076529;12.768814;142;friuliveneziagiulia
5884;Manie;00390;44.19325;8.37883;297;liguria
5937;Statale;00940;44.348694;9.483389;570;liguria
7144;Pian dei Ratti;00872;44.3937;9.271;70;liguria
14233;Diga del Brugneto;OPENDATA101;44.53393;9.20825;856;liguria
6000;Pavia;00817;45.185556;9.151389;80;lombardia
6031;Varese;00907;45.8325;8.823611;412;lombardia
102;Sassocorvaro;102;43.808586;12.512582;173;marche
110;Jesi;110;43.531944;13.229972;100;marche
176;Foresta della Cesana;176;43.6926;12.7675;633;marche
5647;PALLANZA;00641;45.925;8.55;214;piemonte
5649;DOMODOSSOLA;00117;46.104;8.303;255;piemonte
2;ALBERONA;476;41.4175;15.11694;744;puglia
5;ANDRIA;33;41.21806;16.28417;162;puglia
8;ASCOLI_SATRIANO;55;41.20083;15.55056;435;puglia
10;AVETRANA;56;40.33389;17.71722;80;puglia
18;BITONTO;468;41.10028;16.68389;126;puglia
21;BOVINO;406;41.10083;15.31806;620;puglia
23;CAGNANO_VARANO;407;41.83361;15.80028;181;puglia
30;CASAMASSIMA;42;40.95028;16.91667;229;puglia
31;CASSANO_MURGE;53;40.88361;16.76667;380;puglia
39;COLLEPASSO;488;40.06667;18.16778;120;puglia
44;CRISPIANO;498;40.58444;17.23472;264;puglia
50;FASANO;24;40.83361;17.35028;118;puglia
52;FOGGIA_(OSSERVATORIO);26;41.46167;15.54306;94;puglia
53;FONTE_ROSA;478;41.41722;15.76778;25;puglia
58;GINOSA_MARINA;54;40.43361;16.88472;15;puglia
77;MASSAFRA;41;40.58361;17.10056;113;puglia
94;MONTICCHIO_BAGNI;13;40.93333;15.6;713;puglia
102;ORTANOVA;40;41.31722;15.70028;84;puglia
150;VOLTURINO;487;41.45028;15.10056;713;puglia
5;Montemignaio;TOS01000591;43.740236;11.620676;742;toscana
6;Ortignano;TOS01000601;43.681925;11.751541;428;toscana
8;Badia Prataglia;TOS01000621;43.7942;11.876816;935;toscana
10;La Verna;TOS01000639;43.706911;11.931335;1053;toscana
23;Pian di Sco';TOS01000881;43.649965;11.55515;470;toscana
26;Cavallina;TOS01000911;43.983567;11.23742;255;toscana
31;Ponte a Olmo;TOS01000931;44.049072;11.304384;506;toscana
37;Villore;TOS01001011;43.966733;11.546251;513;toscana
39;Consuma;TOS01001041;43.784466;11.585201;908;toscana
50;Cantagallo;TOS01001151;44.023971;11.083228;494;toscana
52;Vernio;TOS01001171;44.04747;11.156912;316;toscana
149;Castelfiorentino;TOS01004971;43.604146;10.97041;66;toscana
217;Gallicano;TOS02000299;44.06303;10.43964;194;toscana
221;Boscolungo;TOS02000351;44.139094;10.67354;1374;toscana
222;Melo;TOS02000359;44.131362;10.743544;1088;toscana
225;Selva dei Porci;TOS02000401;44.077198;10.813551;923;toscana
227;S. Marcello Pistoiese;TOS02000431;44.055275;10.788086;610;toscana
250;Casotti di Cutigliano;TOS02004215;44.098219;10.751581;640;toscana
408;Villacollemandina;TOS10000200;44.161529;10.387754;535;toscana
21;Villa dell'Olio;TOS01000861;43.591795;11.604733;380;toscana
30;Le Croci (Barberino);TOS01000926;44.009686;11.271917;387;toscana
43;Cercina;TOS01001102;43.844258;11.261496;349;toscana
44;Caldine;TOS01001103;43.845709;11.340546;469;toscana
58;Case Passerini;TOS01001225;43.814406;11.17746;35;toscana
77;S. Baronto;TOS01001634;43.835141;10.939066;338;toscana
223;Croce Arcana;TOS02000372;44.131916;10.778274;1663;toscana
6510;Levico (Terme);10;46.010585;11.304882;502;trentino
6541;Pezze' di Moena (Diga);96;46.383662;11.664561;1205;trentino
6561;Trento (Roncafort);135;46.095667;11.101279;194;trentino
6638;Passo Tonale T0360;360;46.261915;10.635572;1880;trentino
6639;Pejo Frana;366;46.364472;10.678177;1580;trentino
6640;Cavalese (meteotrentino);367;46.284762;11.451794;958;trentino
6511;Pontarso;14;46.115589;11.494414;925;trentino
6512;Bieno;15;46.079537;11.553742;806;trentino
6516;Passo Cereda;24;46.194016;11.906843;1375;trentino
6528;Mezzana;71;46.313429;10.795807;905;trentino
6529;Male';74;46.355098;10.916104;735;trentino
6546;Passo Rolle;103;46.297214;11.787638;1995;trentino
6564;Sant'Orsola;139;46.107105;11.3022;930;trentino
6569;Aldeno;146;45.967849;11.091715;182;trentino
6570;Rovereto;147;45.896097;11.043954;203;trentino
6576;Ronchi di Ala;153;45.739264;11.065345;692;trentino
6591;Torrente Arno';177;46.032072;10.640512;1148;trentino
6594;Montagne;182;46.059134;10.751656;955;trentino
